Item,Description,Link,Cost,Quantity
BMP580,Barometric pressure sensor,https://www.lcsc.com/product-detail/C22391138.html,1.08,1
Resistor,330,https://www.lcsc.com/product-detail/C105881.html,0.12,1
LED,WS2812B-2020 SMD,https://www.lcsc.com/product-detail/C965555.html,0.08,2
Capacitor,1uF,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,0.01,4
Resistor,5.1 K,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,0.01,2
Resistor,10,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744 ,0.01,14
Capacitor,100nF,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,0.01,11
Capacitor,44nF,https://www.lcsc.com/product-detail/C49326689.html,0.54,1
Capacitor,10uF,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691,0.01,8
ICM-45686,Motion sensor,https://www.lcsc.com/product-detail/C22459454.html,8.55,1
TS-1088-AR02016,Button,https://www.lcsc.com/product-detail/C720477.html,0.08,2
Capacitor,0.1uF,https://www.lcsc.com/product-detail/C76934.html,0.12,1
Resistor,100k,https://www.lcsc.com/product-detail/C60491.html,0.06,1
Inductor,1uH,https://www.lcsc.com/product-detail/C435392.html,0.5,1
Capacitor,22uF,https://www.lcsc.com/product-detail/C602037.html,0.024,5
Screw Terminal,01x02,https://www.lcsc.com/product-detail/C557685,1.15,1
Connector,01x03,https://jlcpcb.com/partdetail/-PinSocket_1x03_P254mm_Vertical/C9900002703,0.01,2
Capacitor,2.2uF,https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530,0.0024,2
Resistor,22.1k,https://jlcpcb.com/partdetail/YAGEO-RC0201FR0722K1L/C142019,$0.00,1
Crystal Oscillator,25MHz,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006,0.07,1
BQ25883RGER,Charging IC,https://jlcpcb.com/partdetail/TexasInstruments-BQ25883RGER/C544362,4.47,1
LED,Indicator,https://jlcpcb.com/partdetail/EverlightElec-16_213SDRC_S530_A3TR8/C71911,0.03,1
TF-01A,Micro SD Card,https://jlcpcb.com/partdetail/Korean_HropartsElec-TF01A/C91145,0.17,1
Resistor,5.23k,https://jlcpcb.com/partdetail/301853-RC01W5231FT/C320948,0.001,1
Capacitor,47uF,https://www.lcsc.com/product-detail/C49326689.html,0.54,1
Capacitor,20pF,https://jlcpcb.com/partdetail/72988-0201CG200J500NT/C71879,0.0007,4
Resistor,10k,https://jlcpcb.com/partdetail/LIZElec-CR0201FH1002G/C100126,0.0005,1
LMR51431,Power Management,https://jlcpcb.com/partdetail/TexasInstruments-LMR51430XDDCR/C5185863,0.97,1
Resistor,30.1k,https://jlcpcb.com/partdetail/YAGEO-RC0201FR0730K1L/C273278,0.0008,1
Q13FC1350000401,Crystal Oscillator,https://jlcpcb.com/partdetail/SeikoEpson-Q13FC1350000400/C49109464,0.25,1
FCM1608KF-601T04,Ferrite Bead,https://jlcpcb.com/partdetail/TAITECH-FCM1608KF601T03/C141723,0.0046,1
STM32F722RETx,MCU,https://jlcpcb.com/partdetail/STMicroelectronics-STM32F722RET6/C118207,6.05,1
Inductor,1.5uH,https://www.lcsc.com/product-detail/C3033018.html,1.22,1
Inductor,5.6uH,https://www.lcsc.com/product-detail/C18236327.html,0.25,1
USB Receptacle,USB-C,https://jlcpcb.com/partdetail/DEALON-USB_TYPE_C007/C2927027,0.05,1
Resistor,383,https://jlcpcb.com/partdetail/416501-0201WMF3830TEE/C423551,0.0005,1
