"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C26,C24,C1,C25";"C_0402_1005Metric";4;"1uF";;;
2;"R2,R1";"R_0201_0603Metric";2;"5.1 K";;;
3;"R20,R21,R12,R5,R13,R16,R19,R10,R4,R17,R8,R3,R18,R6";"R_0201_0603Metric";14;"10K";;;
4;"C30,C20,C32,C8,C19,C37,C22,C28,C29,C21,C31";"C_0201_0603Metric";11;"100nF";;;
5;"C3";"C_0805_2012Metric";1;"44uF";;;
6;"C9,C2,C7,C10,C27,C4,C6,C11";"C_0402_1005Metric";8;"10uF";;;
7;"U4";"LGA-14_L3.0-W2.5-P0.50-TL";1;"ICM-45686";;;
8;"BOOT,RESET";"SW-SMD_L3.9-W3.0-P4.45";2;"TS-1088-AR02016";;;
9;"C15";"C_0201_0603Metric";1;"0.1uF";;;
10;"R14";"R_0402_1005Metric";1;"100k";;;
11;"LED1,LED2";"LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020";2;"WS2812B-2020";;;
12;"L1";"L2520";1;"1uH";;;
13;"C17,C13,C12,C18,C14";"C_0805_2012Metric";5;"22uF";;;
14;"J1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"SERVO HEADERS,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
16;"C16,C23";"C_0402_1005Metric";2;"2.2uF";;;
17;"R15";"R_0201_0603Metric";1;"22.1k";;;
18;"X1";"CRYSTAL-SMD_4P-L3.2-W2.5-BL";1;"X322525MOB4SI";;;
19;"U3";"VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8";1;"BQ25883RGER";;;
20;"R23";"R_0201_0603Metric";1;"330";;;
21;"D1";"LED_0402_1005Metric";1;"LED";;;
22;"SD Card";"TF-SMD_TF-01A";1;"TF-01A";;;
23;"R11";"R_0201_0603Metric";1;"5.23K";;;
24;"U2";"LGA-10_L2.0-W2.0-P0.50-TL_BMP580";1;"BMP580";;;
25;"C5";"C_0805_2012Metric";1;"47uF";;;
26;"C36,C35,C33,C34";"C_0201_0603Metric";4;"20pF";;;
27;"R22";"R_0201_0603Metric";1;"10k";;;
28;"U6";"SOT-23-6";1;"LMR51430";;;
29;"R9";"R_0201_0603Metric";1;"30.1K";;;
30;"X2";"FC-135R_L3.2-W1.5";1;"Q13FC1350000400";;;
31;"L4";"L0603";1;"FCM1608KF-601T03";;;
32;"U5";"LQFP-64_10x10mm_P0.5mm";1;"STM32F722RETx";;;
33;"L2";"IND-SMD_L4.0-W4.0-A";1;"1.5uH";;;
34;"L3";"IND-SMD_L3.0-W3.0";1;"5.6uH";;;
35;"USB1";"USB-C-SMD_TYPE-C-6PIN-2MD-073";1;"TYPE-C 16PIN 2MD(073)";;;
36;"R7";"R_0201_0603Metric";1;"383";;;
